id,date,home_team,away_team,home_goals,away_goals,match_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_target,away_shots_target,home_red_cards,away_red_cards,b365h,b365d,b365a,season,league,home_team_goals_avg_last_5,away_goals_avg_last_5,ht_home_goals_avg_last_5,ht_away_goals_avg_last_5,home_balance_1h,home_balance_2h,away_balance_1h,away_balance_2h,home_form_1h_last_5,away_form_1h_last_5,home_form_2h_last_5,away_form_2h_last_5,home_shots_avg_last_5,away_shots_avg_last_5,home_shots_target_avg_last_5,away_shots_target_avg_last_5,home_red_cards_avg_last_5,away_red_cards_avg_last_5,home_goals_conceded_avg_last_5,away_goals_conceded_avg_last_5,target,home_points,away_points,home_points_avg_last_5,away_points_avg_last_5,home_overall_points_last_5,away_overall_points_last_5
52,2021-08-20,Brest,Paris SG,2,4,A,1,2,A,11,16,3,8,0,0,9.5,5.75,1.25,2122,F1,1.0,2.0,0.0,2.0,-1,-1,1,1,0.0,1.0,0.0,-0.0,10.0,12.0,5.0,3.0,0.0,0.0,1.0,1.0,0,0,3,1.0,3.0,1.0,3.0
60,2021-08-21,St Etienne,Lille,1,1,D,0,1,A,10,8,2,6,0,0,3.1,3.2,2.4,2122,F1,1.0,3.0,0.0,1.0,-1,1,1,-1,0.0,-1.0,0.0,1.0,20.0,18.0,3.0,7.0,0.0,0.0,1.0,3.0,1,1,1,1.0,1.0,1.0,0.5
58,2021-08-21,Monaco,Lens,0,2,A,0,0,D,9,4,2,2,1,1,1.7,3.75,4.75,2122,F1,1.0,1.0,1.0,1.0,0,-2,0,2,0.0,-0.0,0.0,-0.0,15.0,11.0,3.0,6.0,0.0,0.0,1.0,1.0,0,0,3,1.0,1.0,0.5,1.0
87,2021-08-22,Rennes,Nantes,1,0,H,0,0,D,14,4,5,1,0,0,1.85,3.6,4.2,2122,F1,1.0,1.0,1.0,1.0,0,1,0,-1,0.0,-0.0,0.0,-0.0,10.0,5.0,2.0,1.0,0.0,0.0,1.0,1.0,2,3,0,1.0,1.0,1.0,2.0
84,2021-08-22,Strasbourg,Troyes,1,1,D,0,1,A,14,10,4,6,0,0,2.0,3.4,3.75,2122,F1,0.0,0.0,0.0,0.0,-1,1,1,-1,0.0,-0.0,-2.0,-2.0,7.0,6.0,1.0,1.0,0.0,1.0,2.0,2.0,1,1,1,0.0,0.0,0.0,0.0
82,2021-08-22,Metz,Reims,1,1,D,1,1,D,10,12,4,3,1,1,2.25,3.2,3.4,2122,F1,3.0,0.0,2.0,0.0,0,0,0,0,1.0,-0.0,-1.0,-0.0,12.0,5.0,5.0,0.0,1.0,0.0,3.0,0.0,1,1,1,1.0,1.0,0.5,1.0
81,2021-08-22,Bordeaux,Angers,1,1,D,1,1,D,14,6,5,3,0,0,2.87,3.2,2.62,2122,F1,0.0,2.0,0.0,0.0,0,0,0,0,0.0,-0.0,-2.0,2.0,10.0,9.0,6.0,2.0,0.0,0.0,2.0,0.0,1,1,1,0.0,3.0,0.5,3.0
80,2021-08-22,Lyon,Clermont,3,3,D,3,1,H,21,17,9,5,0,0,1.55,4.5,5.25,2122,F1,1.0,2.0,0.0,0.0,2,-2,-2,2,-1.0,-0.0,1.0,2.0,17.0,19.0,4.0,10.0,0.0,0.0,1.0,0.0,1,1,1,1.0,3.0,0.5,3.0
83,2021-08-22,Montpellier,Lorient,3,1,H,0,1,A,32,5,11,4,0,2,2.1,3.4,3.5,2122,F1,2.0,1.0,2.0,0.0,-1,3,1,-3,2.0,-0.0,-3.0,-0.0,8.0,12.0,1.0,3.0,0.0,0.0,3.0,1.0,2,3,0,0.0,1.0,0.5,2.0
101,2021-08-27,Mallorca,Espanol,1,0,H,1,0,H,12,8,6,3,0,1,2.6,2.9,3.1,2122,SP1,1.0,0.0,1.0,0.0,1,0,-1,0,1.0,-0.0,-1.0,-0.0,6.0,10.0,2.0,3.0,0.0,0.0,1.0,0.0,2,3,0,1.0,1.0,2.0,1.0
102,2021-08-27,Nantes,Lyon,0,1,A,0,1,A,18,12,5,5,0,1,4.5,4.0,1.66,2122,F1,2.0,0.0,1.0,0.0,-1,0,1,0,1.0,-1.0,1.0,-2.0,11.0,8.0,7.0,3.0,0.0,1.0,0.0,3.0,0,0,3,3.0,0.0,1.3333333333333333,0.6666666666666666
103,2021-08-27,Udinese,Venezia,3,0,H,1,0,H,18,8,10,3,0,0,1.7,3.75,5.0,2122,I1,2.0,0.0,0.0,0.0,1,2,-1,-2,-2.0,-0.0,2.0,-2.0,11.0,8.0,6.0,4.0,0.0,0.0,2.0,2.0,2,3,0,1.0,0.0,1.0,0.0
